                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0215,                0.70868,                 1.3947,                0.46701,                 0.6023,                0.56084,                0.27674,                 1.7275,                 1.0819,                 1.3626,             0.00057778,             0.00057778,             0.00057778
                     36,                0.99248,                0.68358,                 1.3897,                0.50939,                0.48465,                0.59776,                0.30272,                 1.7244,                 1.0879,                 1.3366,             0.00054478,             0.00054478,             0.00054478
                     37,                0.99583,                0.68284,                 1.3893,                 0.6631,                0.56056,                0.68686,                 0.3052,                 1.7462,                  1.089,                 1.3659,             0.00051177,             0.00051177,             0.00051177
                     38,                0.99202,                0.68082,                 1.3875,                0.64469,                0.65602,                0.69013,                0.33472,                  1.723,                 1.0369,                 1.3552,             0.00047876,             0.00047876,             0.00047876
                     39,                0.99069,                0.66528,                 1.3827,                0.60818,                0.68068,                0.68844,                0.34144,                 1.7029,                 1.0914,                 1.3403,             0.00044576,             0.00044576,             0.00044576
                     40,                0.99094,                0.66942,                 1.3742,                0.75784,                0.62392,                 0.6797,                0.32442,                 1.7209,                  1.047,                 1.3529,             0.00041275,             0.00041275,             0.00041275
                     41,                0.91815,                0.55287,                 1.3551,                0.69364,                0.63299,                0.69749,                0.35348,                 1.7004,                 1.0423,                 1.3343,             0.00037974,             0.00037974,             0.00037974
                     42,                0.91137,                0.53418,                  1.334,                0.72801,                0.63751,                0.69599,                0.35693,                 1.7038,                 1.0128,                   1.33,             0.00034674,             0.00034674,             0.00034674
                     43,                0.88643,                0.51989,                 1.3271,                0.72965,                0.63427,                0.68753,                0.34529,                 1.6927,                 1.0653,                  1.332,             0.00031373,             0.00031373,             0.00031373
                     44,                0.88031,                0.50408,                 1.3211,                0.72999,                0.61381,                0.70642,                0.34732,                 1.7022,                0.98947,                 1.3334,             0.00028072,             0.00028072,             0.00028072
                     45,                0.87549,                0.49967,                 1.3132,                0.81472,                0.67599,                0.74933,                0.38685,                 1.6624,                0.97628,                 1.3198,             0.00024772,             0.00024772,             0.00024772
                     46,                0.85806,                0.48516,                 1.2914,                 0.7037,                 0.6688,                0.73013,                0.38413,                 1.6813,                0.97304,                 1.3298,             0.00021471,             0.00021471,             0.00021471
                     47,                0.85021,                0.48329,                 1.2939,                0.76241,                0.73988,                0.75574,                0.38094,                 1.6775,                0.96144,                 1.3103,              0.0001817,              0.0001817,              0.0001817
                     48,                0.83938,                0.47799,                 1.2816,                0.81205,                0.67192,                0.73523,                0.38022,                 1.6804,                0.97745,                 1.3231,              0.0001487,              0.0001487,              0.0001487
                     49,                0.82761,                 0.4639,                 1.2739,                0.80705,                0.67775,                0.75147,                0.40493,                 1.6577,                0.96874,                  1.317,             0.00011569,             0.00011569,             0.00011569
                     50,                0.81866,                0.45801,                 1.2712,                0.79132,                0.66018,                0.73665,                 0.3954,                 1.6568,                0.96947,                 1.3104,             8.2683e-05,             8.2683e-05,             8.2683e-05
